epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.28019,2.30419,3.24731,2.12842,0.0025,0.69231,0.19687,0.04286,2.13299,4.19493,1.95588,0,0,0
2,14.7162,2.17595,3.19197,1.50507,0.0025,0.69231,0.19661,0.05452,2.08197,4.2272,1.91359,1.9604e-05,1.9604e-05,1.9604e-05
3,21.4033,2.06446,3.62557,1.80883,0.0025,0.69231,0.25118,0.08846,2.00682,4.11948,1.79238,3.8416e-05,3.8416e-05,3.8416e-05
4,28.5438,1.76314,3.12278,1.6905,0.0025,0.69231,0.41846,0.18683,1.84615,4.00425,1.66189,5.6436e-05,5.6436e-05,5.6436e-05
5,35.3494,1.65632,2.80788,1.55746,0.0025,0.69231,0.52787,0.2736,1.60493,3.93034,1.58043,7.3664e-05,7.3664e-05,7.3664e-05
6,42.7117,1.6565,2.88232,1.52745,0.0025,0.69231,0.57012,0.36864,1.35215,3.74872,1.44212,9.01e-05,9.01e-05,9.01e-05
7,54.0091,1.52389,3.04743,1.68112,0.0025,0.69231,0.58458,0.42697,1.09323,3.69267,1.34305,0.000105744,0.000105744,0.000105744
8,60.5859,1.59895,2.76045,1.514,0.0025,0.69231,0.59149,0.4442,1.11795,3.72178,1.38163,0.000120596,0.000120596,0.000120596
9,66.6548,1.15611,2.45366,1.2267,0.0025,0.69231,0.58478,0.41152,1.16522,3.73365,1.41901,0.000134656,0.000134656,0.000134656
10,72.8881,1.36686,2.14811,1.43321,0.0025,0.69231,0.60591,0.42062,1.1349,3.63599,1.47726,0.000147924,0.000147924,0.000147924
11,80.3935,1.29377,2.12972,1.41193,0.0025,0.69231,0.60262,0.40816,1.20625,3.54094,1.53798,0.0001604,0.0001604,0.0001604
12,87.0322,1.319,2.04196,1.45839,0.00581,0.69231,0.60683,0.41066,1.20242,3.47935,1.56009,0.000172084,0.000172084,0.000172084
13,94.235,1.50449,2.02881,1.58848,0.55059,0.61538,0.60658,0.42715,1.20718,3.37146,1.44879,0.000182976,0.000182976,0.000182976
14,101.456,1.21407,1.99394,1.33554,1,0.52455,0.61272,0.47298,1.12092,3.277,1.32985,0.000193076,0.000193076,0.000193076
15,109.183,1.41869,1.83532,1.49927,1,0.54678,0.62199,0.49937,1.08874,3.32745,1.22737,0.000202384,0.000202384,0.000202384
16,116.663,1.09909,1.54592,1.30581,1,0.60297,0.63,0.4814,1.10914,3.28125,1.25897,0.0002109,0.0002109,0.0002109
17,124.346,1.17245,2.06118,1.21895,0.47055,0.61538,0.64269,0.46851,1.11809,3.30333,1.24485,0.000218624,0.000218624,0.000218624
18,131.842,1.23524,2.05485,1.28749,0.47055,0.61538,0.64269,0.46851,1.11809,3.30333,1.24485,0.000225556,0.000225556,0.000225556
19,139.982,1.06469,1.66947,1.29909,0.006,0.69231,0.62087,0.44989,1.16398,3.34016,1.22526,0.000231696,0.000231696,0.000231696
20,148.277,1.3026,1.93587,1.36505,0.006,0.69231,0.62087,0.44989,1.16398,3.34016,1.22526,0.000237044,0.000237044,0.000237044
21,156.102,1.37622,2.46665,1.40974,0.0025,0.69231,0.63278,0.44949,1.18606,3.34118,1.21343,0.0002416,0.0002416,0.0002416
22,163.396,1.09921,1.59481,1.24901,0.0025,0.69231,0.63278,0.44949,1.18606,3.34118,1.21343,0.000245364,0.000245364,0.000245364
23,171.537,1.18691,1.87038,1.34188,0.0025,0.69231,0.6278,0.46904,1.16585,3.3764,1.19836,0.000248336,0.000248336,0.000248336
24,180.021,1.06551,1.98001,1.33751,0.0025,0.69231,0.6278,0.46904,1.16585,3.3764,1.19836,0.000250516,0.000250516,0.000250516
25,188.071,1.1723,1.58949,1.21224,0.0025,0.69231,0.58567,0.41324,1.13239,3.35235,1.19394,0.000251904,0.000251904,0.000251904
26,195.582,0.90091,1.46715,1.10869,0.0025,0.69231,0.58567,0.41324,1.13239,3.35235,1.19394,0.0002525,0.0002525,0.0002525
27,202.802,1.12879,1.85867,1.34578,0.0025,0.69231,0.58447,0.42527,1.15556,3.34528,1.20406,0.000252304,0.000252304,0.000252304
28,210.003,1.37829,1.84588,1.3415,0.0025,0.69231,0.58447,0.42527,1.15556,3.34528,1.20406,0.000251316,0.000251316,0.000251316
29,217.197,1.0148,1.61102,1.11804,0.00556,0.69231,0.6278,0.46553,1.14928,3.34067,1.19159,0.000249536,0.000249536,0.000249536
30,223.904,1.25512,1.72668,1.34242,0.00556,0.69231,0.6278,0.46553,1.14928,3.34067,1.19159,0.000246964,0.000246964,0.000246964
31,230.342,1.00434,1.5558,1.17437,1,0.56344,0.64186,0.46537,1.20413,3.30417,1.23442,0.0002436,0.0002436,0.0002436
32,236.416,1.09543,1.861,1.26738,1,0.56344,0.64186,0.46537,1.20413,3.30417,1.23442,0.000239444,0.000239444,0.000239444
33,242.981,1.02428,1.56304,1.1768,1,0.42788,0.644,0.47768,1.19957,3.30903,1.24162,0.000234496,0.000234496,0.000234496
34,248.968,0.96298,1.43444,1.1872,1,0.42788,0.644,0.47768,1.19957,3.30903,1.24162,0.000228756,0.000228756,0.000228756
35,255.754,1.21169,1.7712,1.41135,1,0.4461,0.64795,0.49862,1.13792,3.22125,1.23212,0.000222224,0.000222224,0.000222224
36,261.912,1.04551,1.52871,1.26637,1,0.4461,0.64795,0.49862,1.13792,3.22125,1.23212,0.0002149,0.0002149,0.0002149
37,268.677,1.13427,1.45459,1.36757,1,0.55141,0.64405,0.52612,1.02842,3.07045,1.20651,0.000206784,0.000206784,0.000206784
38,275.515,0.84539,1.26292,1.15374,1,0.55141,0.64405,0.52612,1.02842,3.07045,1.20651,0.000197876,0.000197876,0.000197876
39,281.4,0.70034,1.42477,1.08285,0.86878,0.61538,0.64659,0.54682,0.93816,2.94377,1.17985,0.000188176,0.000188176,0.000188176
40,288.761,0.84209,1.267,1.15022,0.86878,0.61538,0.64659,0.54682,0.93816,2.94377,1.17985,0.000177684,0.000177684,0.000177684
41,295.771,1.12519,2.10366,1.35937,1,0.61272,0.64993,0.54604,0.89218,2.86502,1.14748,0.0001664,0.0001664,0.0001664
42,302.458,1.00993,2.13236,1.2732,1,0.61272,0.64993,0.54604,0.89218,2.86502,1.14748,0.000154324,0.000154324,0.000154324
43,309.204,0.97447,2.17157,1.21012,1,0.60653,0.65529,0.56508,0.86077,2.82399,1.12262,0.000141456,0.000141456,0.000141456
44,315.899,0.91044,1.90116,1.11918,1,0.60653,0.65529,0.56508,0.86077,2.82399,1.12262,0.000127796,0.000127796,0.000127796
45,322.342,0.93158,2.03927,1.05477,1,0.60716,0.6513,0.56631,0.85062,2.80969,1.10922,0.000113344,0.000113344,0.000113344
46,328.27,0.97333,2.09082,1.27676,1,0.60716,0.6513,0.56631,0.85062,2.80969,1.10922,9.81e-05,9.81e-05,9.81e-05
47,334.796,0.98543,2.01497,1.31112,0.9981,0.61538,0.65133,0.56937,0.84124,2.80631,1.09581,8.2064e-05,8.2064e-05,8.2064e-05
48,340.368,0.76343,1.82438,1.0771,0.9981,0.61538,0.65133,0.56937,0.84124,2.80631,1.09581,6.5236e-05,6.5236e-05,6.5236e-05
49,346.016,1.09355,2.12515,1.10552,0.96945,0.61538,0.66034,0.57423,0.84572,2.80907,1.09331,4.7616e-05,4.7616e-05,4.7616e-05
50,351.783,0.73039,1.76954,1.08106,0.96945,0.61538,0.66034,0.57423,0.84572,2.80907,1.09331,2.9204e-05,2.9204e-05,2.9204e-05
